"Date","Period","ResponseID","Survey","PELICAN_TOTAL","PELICAN_TOTAL_N","PELICAN_INJURED","PELICAN_INJURED_N","PELICAN_DEAD","PELICAN_DEAD_N","PELICAN_FED","PELICAN_FED_TYPE","PELICAN_FED_TYPE_TEXT","SECTION","TIME_MORNING","TIME_MIDDAY","TIME_EVENING","TIME_LATE","TIME_number"
"9/22/2023","Unregulated","R_092201","In Person","No",NA,"No",NA,"No",NA,"Yes","I'm not sure",NA,"B","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092202","In Person","Yes",4,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092203","In Person","Yes",2,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092204","In Person","No",12,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092205","In Person","Yes",20,"Yes",20,"No",NA,"No","I'm not sure",NA,"A","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092206","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092207","In Person","No",NA,"No",NA,"No",10,"No",NA,NA,"C","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092208","In Person","Yes",2,"No",NA,"No",NA,"No",NA,NA,"C","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092209","In Person","No",NA,"No",NA,"No",NA,"Yes","Dead fish or used bait",NA,"C","Yes","No","No","No",1
"9/22/2023","Unregulated","R_092210","In Person","Yes",3,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","Yes",2
"9/22/2023","Unregulated","R_092211","In Person","Yes",2,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092401","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092402","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092403","In Person","Yes",12,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","Yes",2
"9/24/2023","Unregulated","R_092404","In Person","Yes",10,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092405","In Person","Yes",2,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","Yes",2
"9/24/2023","Unregulated","R_092406","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092407","In Person","Yes",5,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092408","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092409","In Person","No",NA,"No",NA,"No",NA,"Yes","Something else","Not fed, eating bait","B","Yes","No","No","No",1
"9/24/2023","Unregulated","R_092410","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/27/2023","Unregulated","R_092701","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/27/2023","Unregulated","R_092702","In Person","Yes",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/27/2023","Unregulated","R_092703","In Person","Yes",30,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","Yes",2
"9/27/2023","Unregulated","R_092704","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","No","No","No",1
"9/30/2023","Unregulated","R_093001","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/30/2023","Unregulated","R_093002","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","Yes",2
"9/30/2023","Unregulated","R_093003","In Person","Yes",20,"No",2,"No",NA,"No",NA,NA,"B","Yes","No","No","Yes",2
"9/30/2023","Unregulated","R_093004","In Person","No",8,"No",NA,"No",NA,"No",NA,NA,"C","Yes","No","No","Yes",2
"9/30/2023","Unregulated","R_093005","In Person","Yes",10,"No",NA,"No",NA,"No",NA,NA,"C","Yes","No","No","No",1
"9/30/2023","Unregulated","R_093006","In Person","Yes",8,"No",NA,"No",NA,"Yes","Dead fish or used bait",NA,"B","Yes","No","No","Yes",2
"9/30/2023","Unregulated","R_093007","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/30/2023","Unregulated","R_093008","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","No","No","No",1
"9/30/2023","Unregulated","R_093009","In Person","Yes",10,"No",NA,"No",NA,"No",NA,NA,"C","Yes","No","No","Yes",2
"10/6/2023","Unregulated","R_100601","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"10/6/2023","Unregulated","R_100602","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"10/6/2023","Unregulated","R_100603","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"A","No","Yes","No","No",1
"10/6/2023","Unregulated","R_100604","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"A","Yes","Yes","No","No",2
"10/6/2023","Unregulated","R_100605","In Person","Yes",10,"No",NA,"No",NA,"No",NA,NA,"A","No","Yes","No","No",1
"10/6/2023","Unregulated","R_100606","In Person","No",NA,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
"10/6/2023","Unregulated","R_100607","In Person","Yes",20,"No",NA,"No",NA,"No",NA,NA,"B","Yes","Yes","No","No",2
