"Date","SECTION","Period","ResponseID","Survey","PELICAN_TOTAL","PELICAN_TOTAL_N","PELICAN_INJURED","PELICAN_INJURED_N","PELICAN_DEAD","PELICAN_DEAD_N","PELICAN_FED","PELICAN_FED_TYPE","PELICAN_FED_TYPE_TEXT","TIME_MORNING","TIME_MIDDAY","TIME_EVENING","TIME_LATE","TIME_number","inconsistent","pelicans_date","injured_date","dead_date","pelicans_section","injured_section","dead_section","subjective_cat","objectiveSECT_cat","pelican_estimate"
2023-09-22,"A","Unregulated","R_092203","In Person","Yes",2,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",8,0,0,3,0,0,"1-4","1-4","About right"
2023-09-22,"A","Unregulated","R_092205","In Person","Yes",20,"Yes",20,"No",0,"No","I'm not sure",NA,"Yes","No","No","No",1,"No",8,0,0,3,0,0,"20+","1-4","Overestimate"
2023-09-22,"A","Unregulated","R_092211","In Person","Yes",2,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",8,0,0,3,0,0,"1-4","1-4","About right"
2023-09-22,"B","Unregulated","R_092201","In Person","No",0,"No",0,"No",0,"Yes","I'm not sure",NA,"Yes","No","No","No",1,"No",8,0,0,2,0,0,"0","1-4","Underestimate"
2023-09-22,"B","Unregulated","R_092202","In Person","Yes",4,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",8,0,0,2,0,0,"1-4","1-4","About right"
2023-09-22,"B","Unregulated","R_092206","In Person","No",0,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",8,0,0,2,0,0,"0","1-4","Underestimate"
2023-09-22,"C","Unregulated","R_092208","In Person","Yes",2,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",8,0,0,2,0,0,"1-4","1-4","About right"
2023-09-22,"C","Unregulated","R_092209","In Person","No",0,"No",0,"No",0,"Yes","Dead fish or used bait",NA,"Yes","No","No","No",1,"No",8,0,0,2,0,0,"0","1-4","Underestimate"
2023-09-24,"A","Unregulated","R_092401","In Person","No",0,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",4,1,0,0,0,0,"0","0","About right"
2023-09-24,"A","Unregulated","R_092402","In Person","No",0,"No",0,"No",0,"No",NA,NA,"Yes","No","No","No",1,"No",4,1,0,0,0,0,"0","0","About right"
