"ResponseID","AGE","EMPLOY","GENDER","INCOME","RESIDENT","ZIPCODE","VISIT_WHY","VISIT_WHY_OTHER","VISIT_FROM","REASON_TEXT","COMPANY_TEXT","FREQUENCY","ISSUE_CONCERN","ISSUE_CONFIDENT","ISSUE_CUT","ISSUE_NORM","ACTION_GEAR","ACTION_ZONE","ACTION_ENFORCE","ACTION_DEMOLISH","ACTION_VIDEO","REG_AWARE","REG_DIFFICULT","REG_SNORM","REG_REDUCE","REG_DNORM","SECTION","TIME_MORNING","TIME_MIDDAY","TIME_EVENING","TIME_LATE","TIME_number","REASON_FUN","REASON_FOOD","REASON_SELL","REASON_WATCH","REASON_OTHER","REASON_number","COMPANY_NONE","COMPANY_FRIEND","COMPANY_PARSIB","COMPANY_SPOUSE","COMPANY_KIDS","COMPANY_OTHER","COMPANY_number","GROUP","TACKLE","TTACKLE","REG_AFFECT","REG_ENOUGH","REG_CAUSE","REG_ENFORCE"
"R_092201",40,"Full-time","Male","$50,001 - $75,000","Yes",33634,NA,NA,NA,NA,NA,"Once or twice a month","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Slightly effective","Not effective at all","Very effective","Not effective at all","Slightly effective","Yes","Somewhat agree","Agree","Somewhat disagree","Agree","B","Yes","No","No","No",1,"Yes","No","No","No","No",1,"Yes","No","No","No","No","No",0,"Control","All of them","Two of them","Agree","Strongly agree","Strongly disagree","Somewhat disagree"
"R_092202",25,"Full-time","Male","$50,001 - $75,000","Yes",33712,NA,NA,NA,NA,NA,"Once or twice a month","Agree","Agree","Strongly agree","Somewhat agree","Moderately effective","Not effective at all","Very effective","Not effective at all","Slightly effective","Yes","Disagree","Agree","Strongly agree","Agree","B","Yes","No","No","No",1,"Yes","No","No","No","No",1,"Yes","No","No","No","No","No",0,"Control","Two of them","Two of them","Agree","Somewhat agree","Strongly agree","Somewhat disagree"
"R_092203",64,"Part-time","Male","$50,001 - $75,000","Yes",34222,NA,NA,NA,NA,NA,"A few times per year","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Slightly effective","Not effective at all","Extremely effective","Not effective at all","Moderately effective","Yes","Somewhat disagree","Agree","Disagree","Somewhat disagree","A","Yes","No","No","No",1,"Yes","Yes","No","No","No",2,"Yes","No","No","No","No","No",0,"Control","All of them","Three of them","Agree","Agree","Disagree","Somewhat agree"
"R_092204",20,"Student","Male","$25,000 or less","No",NA,"Something else","School","MA",NA,NA,"Once or twice a month","Somewhat agree","Agree","Agree","Somewhat agree","Not effective at all","Slightly effective","Moderately effective","Not effective at all","Extremely effective","No",NA,NA,NA,NA,"B","Yes","No","No","No",1,"Yes","Yes","No","No","No",2,"No","Yes","No","No","No","No",1,"Control","All of them","All of them",NA,NA,NA,NA
"R_092205",60,"Retired","Male","$75,001 - $100,000","No",34608,"Something else","Seasonal resident","PA",NA,NA,"Once or twice a month","Agree","Agree","Somewhat agree","Agree","Very effective","Not effective at all","Slightly effective","Moderately effective","Not effective at all","Yes","Somewhat agree","Somewhat disagree",NA,"Strongly agree","A","Yes","No","No","No",1,"Yes","No","No","No","No",1,"No","Yes","No","No","No","No",1,"Control","All of them","All of them","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree"
"R_092206",42,"Full-time","Female","$75,001 - $100,000","Yes",33805,NA,NA,NA,"Enjoying the openness of the pier",NA,"Once or twice a month","Agree","Strongly agree","Somewhat disagree","Somewhat agree","Slightly effective","Not effective at all","Very effective","Moderately effective","Extremely effective","Yes","Somewhat disagree","Strongly agree","Agree","Strongly agree","B","Yes","No","No","No",1,"Yes","Yes","No","No","Yes",3,"No","No","No","Yes","No","No",1,"Treatment","Three of them","Three of them","Somewhat agree","Agree","Somewhat disagree","Disagree"
"R_092207",NA,"Part-time","Male",NA,"Yes",33594,NA,NA,NA,NA,NA,"At least once a week","Agree","Strongly agree",NA,"Strongly agree","Not effective at all","Not effective at all","Slightly effective","Moderately effective","Very effective","No","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat disagree","C","Yes","No","No","No",1,"Yes","Yes","No","No","No",2,"Yes","No","No","No","No","No",0,"Treatment","Three of them","Four of them","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"R_092208",19,"Full-time","Female","$25,000 or less","Yes",33716,NA,NA,NA,NA,NA,"Once or twice a month","Agree","Somewhat agree","Somewhat agree","Somewhat disagree","Moderately effective","Slightly effective","Slightly effective","Not effective at all","Slightly effective","Yes","Disagree","Agree","Agree","Agree","C","Yes","No","No","No",1,"No","Yes","No","No","No",1,"No","No","No","Yes","No","No",1,"Treatment","Two of them","One of them","Somewhat agree","Agree","Agree","Somewhat agree"
"R_092209",25,"Full-time","Male","$50,001 - $75,000","Yes",33716,NA,NA,NA,NA,NA,"At least once a week","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Not effective at all","Not effective at all","Very effective","Very effective","Extremely effective","Yes","Agree","Disagree","Strongly disagree","Disagree","C","Yes","No","No","No",1,"Yes","Yes","No","No","No",2,"Yes","No","No","No","No","No",0,"Treatment","All of them","All of them","Disagree","Disagree","Disagree","Disagree"
"R_092210",19,"Student","Male","$25,000 or less","No",NA,"Something else","College","NJ",NA,NA,"Once or twice a month","Agree","Somewhat agree","Agree","Somewhat agree","Not effective at all","Slightly effective","Very effective","Slightly effective","Extremely effective","No",NA,NA,NA,NA,"B","Yes","No","No","Yes",2,"Yes","No","No","No","No",1,"No","Yes","No","No","No","No",1,"Treatment","All of them","Four of them",NA,NA,NA,NA
"R_092211",24,"Full-time","Male","$50,001 - $75,000","Yes",33810,NA,NA,NA,NA,NA,"A few times per year","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Slightly effective","Not effective at all","Slightly effective","Not effective at all","Very effective","Yes","Somewhat disagree","Disagree","Somewhat disagree","Strongly agree","A","Yes","No","No","No",1,"Yes","No","No","No","No",1,"No","Yes","No","No","No","No",1,"Treatment","All of them","Three of them","Somewhat disagree","Agree","Somewhat agree","Agree"
"R_092401",64,"Retired","Male",NA,"Yes",33762,NA,NA,"NY",NA,NA,"A few times per year","Strongly agree","Disagree","Agree","Somewhat agree","Moderately effective","Moderately effective","Very effective","Slightly effective","Moderately effective","Yes","Somewhat agree","Disagree","Somewhat agree","Somewhat agree","A","Yes","No","No","No",1,"Yes","No","No","No","No",1,"No","Yes","No","No","No","No",1,"Control","One of them","Three of them",NA,"Somewhat disagree","Somewhat disagree","Somewhat disagree"
