"ResponseID","AGE","ZIPCODE","SECTION","TIME_number","GROUP","FULLTIME","MALE","INCOME3","FLRESIDENT","FOOD","SOCIAL","FREQUENCY3","AWARE","TACKLE.Q","TTACKLE.Q","ISSUE_CONCERN.Q","ISSUE_CONFIDENT.Q","ISSUE_CUT.Q","ISSUE_NORM.Q","ACTION_GEAR.Q","ACTION_ZONE.Q","ACTION_ENFORCE.Q","ACTION_DEMOLISH.Q","ACTION_VIDEO.Q","REG_AFFECT.Q","REG_DIFFICULT.Q","REG_ENOUGH.Q","REG_CAUSE.Q","REG_SNORM.Q","REG_REDUCE.Q","REG_ENFORCE.Q","REG_DNORM.Q"
"R_092201",40,33634,"B",1,"Control",1,1,"$50,001 - $75,000",1,0,0,"Occasionally",1,4,2,3,4,6,4,2,1,4,1,2,5,4,6,1,5,3,3,5
"R_092202",25,33712,"B",1,"Control",1,1,"$50,001 - $75,000",1,0,0,"Occasionally",1,2,2,5,5,6,4,3,1,4,1,2,5,2,4,6,5,6,3,5
"R_092203",64,34222,"A",1,"Control",0,1,"$50,001 - $75,000",1,1,0,"Rarely",1,4,3,4,6,6,4,2,1,5,1,3,5,3,5,2,5,2,4,3
"R_092204",20,NA,"B",1,"Control",0,1,"$50,000 or less",0,1,1,"Occasionally",0,4,4,4,5,5,4,1,2,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA
"R_092205",60,34608,"A",1,"Control",0,1,"$75,001 or more",0,0,1,"Occasionally",1,4,4,5,5,4,5,4,1,2,3,1,4,4,4,3,3,NA,3,6
"R_092206",42,33805,"B",1,"Treatment",1,0,"$75,001 or more",1,1,1,"Occasionally",1,3,3,5,6,3,4,2,1,4,3,5,4,3,5,3,6,5,2,6
"R_092207",NA,33594,"C",1,"Treatment",0,1,NA,1,1,0,"Frequently",0,3,4,5,6,NA,6,1,1,2,3,4,6,4,6,6,1,1,6,3
"R_092208",19,33716,"C",1,"Treatment",1,0,"$50,000 or less",1,1,1,"Occasionally",1,2,1,5,4,4,3,3,2,2,1,2,4,2,5,5,5,5,4,5
"R_092209",25,33716,"C",1,"Treatment",1,1,"$50,001 - $75,000",1,1,0,"Frequently",1,5,5,4,6,6,4,1,1,4,4,5,2,5,2,2,2,1,2,2
"R_092210",19,NA,"B",2,"Treatment",0,1,"$50,000 or less",0,0,1,"Occasionally",0,5,4,5,4,5,4,1,2,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA
