Date,Period,ResponseID,Survey,CONSENT,REPEAT,REPEAT_WHEN,AGE,EMPLOY,GENDER,INCOME,RESIDENT,ZIPCODE,VISIT_WHY,VISIT_WHY_OTHER,VISIT_FROM,PELICAN_TOTAL,PELICAN_TOTAL_N,PELICAN_INJURED,PELICAN_INJURED_N,PELICAN_DEAD,PELICAN_DEAD_N,PELICAN_FED,PELICAN_FED_TYPE,PELICAN_FED_TYPE_TEXT,TIME,REASON,REASON_TEXT,COMPANY,COMPANY_TEXT,LOCATION,FREQUENCY,TACKLE_C,TTACKLE_C,TACKLE_T,TTACKLE_T,ISSUE_CONCERN,ISSUE_CONFIDENT,ISSUE_CUT,ISSUE_NORM,ACTION_GEAR,ACTION_ZONE,ACTION_ENFORCE,ACTION_DEMOLISH,ACTION_VIDEO,REG_AWARE,REG_AFFECT.R,REG_DIFFICULT,REG_ENOUGH.R,REG_CAUSE.R,REG_SNORM,REG_REDUCE,REG_ENFORCE.R,REG_DNORM
9/22/2023,Unregulated,R_092201,In Person,I agree,No,NA,40,Full-time,Male,"$50,001 - $75,000",Yes,33634,NA,NA,NA,No,NA,No,NA,No,NA,Yes,I'm not sure,NA,Morning (7am - 11am),Fishing for fun or sport,NA,"No, just me",NA,Section B (markers 108-146),Once or twice a month,All of them,Two of them,NA,NA,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Slightly effective,Not effective at all,Very effective,Not effective at all,Slightly effective,Yes,Disagree,Somewhat agree,Strongly disagree,Strongly agree,Agree,Somewhat disagree,Somewhat agree,Agree
9/22/2023,Unregulated,R_092202,In Person,I agree,No,NA,25,Full-time,Male,"$50,001 - $75,000",Yes,33712,NA,NA,NA,Yes,4,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),Fishing for fun or sport,NA,"No, just me",NA,Section B (markers 108-146),Once or twice a month,Two of them,Two of them,NA,NA,Agree,Agree,Strongly disagree,Somewhat agree,Moderately effective,Not effective at all,Very effective,Not effective at all,Slightly effective,Yes,Disagree,Disagree,Somewhat disagree,Strongly disagree,Agree,Strongly agree,Somewhat agree,Agree
9/22/2023,Unregulated,R_092203,In Person,I agree,No,NA,64,Part-time,Male,"$50,001 - $75,000",Yes,34222,NA,NA,NA,Yes,2,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),"Fishing for fun or sport,Fishing for my own food",NA,"No, just me",NA,Section A (markers 147-172),A few times per year,All of them,Three of them,NA,NA,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Slightly effective,Not effective at all,Extremely effective,Not effective at all,Moderately effective,Yes,Disagree,Somewhat disagree,Disagree,Agree,Agree,Disagree,Somewhat disagree,Somewhat disagree
9/22/2023,Unregulated,R_092204,In Person,I agree,No,NA,20,Student,Male,"$25,000 or less",No,NA,Something else,School,MA,No,12,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),"Fishing for fun or sport,Fishing for my own food",NA,"Yes, with a friend",NA,Section B (markers 108-146),Once or twice a month,All of them,All of them,NA,NA,Somewhat agree,Agree,Disagree,Somewhat agree,Not effective at all,Slightly effective,Moderately effective,Not effective at all,Extremely effective,No,NA,NA,NA,NA,NA,NA,NA,NA
9/22/2023,Unregulated,R_092205,In Person,I agree,No,NA,60,Retired,Male,"$75,001 - $100,000",No,34608,Something else,Seasonal resident,PA,Yes,20,Yes,20,No,NA,No,I'm not sure,NA,Morning (7am - 11am),Fishing for fun or sport,NA,"Yes, with a friend",NA,Section A (markers 147-172),Once or twice a month,All of them,All of them,NA,NA,Agree,Agree,Somewhat disagree,Agree,Very effective,Not effective at all,Slightly effective,Moderately effective,Not effective at all,Yes,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,NA,Somewhat agree,Strongly agree
9/22/2023,Unregulated,R_092206,In Person,I agree,No,NA,42,Full-time,Female,"$75,001 - $100,000",Yes,33805,NA,NA,NA,No,NA,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),"Fishing for fun or sport,Fishing for my own food,Something else",Enjoying the openness of the pier,"Yes, with my spouse or significant other",NA,Section B (markers 108-146),Once or twice a month,NA,NA,Three of them,Three of them,Agree,Strongly agree,Somewhat agree,Somewhat agree,Slightly effective,Not effective at all,Very effective,Moderately effective,Extremely effective,Yes,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Strongly agree,Agree,Agree,Strongly agree
9/22/2023,Unregulated,R_092207,In Person,I agree,No,NA,NA,Part-time,Male,NA,Yes,33594,NA,NA,NA,No,NA,No,NA,No,10,No,NA,NA,Morning (7am - 11am),"Fishing for fun or sport,Fishing for my own food",NA,"No, just me",NA,Section C (markers 73-107),At least once a week,NA,NA,Three of them,Four of them,Agree,Strongly agree,NA,Strongly agree,Not effective at all,Not effective at all,Slightly effective,Moderately effective,Very effective,No,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree
9/22/2023,Unregulated,R_092208,In Person,I agree,No,NA,19,Full-time,Female,"$25,000 or less",Yes,33716,NA,NA,NA,Yes,2,No,NA,No,NA,No,NA,NA,Morning (7am - 11am),Fishing for my own food,NA,"Yes, with my spouse or significant other",NA,Section C (markers 73-107),Once or twice a month,NA,NA,Two of them,One of them,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Moderately effective,Slightly effective,Slightly effective,Not effective at all,Slightly effective,Yes,Somewhat disagree,Disagree,Disagree,Disagree,Agree,Agree,Somewhat disagree,Agree
9/22/2023,Unregulated,R_092209,In Person,I agree,No,NA,25,Full-time,Male,"$50,001 - $75,000",Yes,33716,NA,NA,NA,No,NA,No,NA,No,NA,Yes,Dead fish or used bait,NA,Morning (7am - 11am),"Fishing for fun or sport,Fishing for my own food",NA,"No, just me",NA,Section C (markers 73-107),At least once a week,NA,NA,All of them,All of them,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Not effective at all,Not effective at all,Very effective,Very effective,Extremely effective,Yes,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree
9/22/2023,Unregulated,R_092210,In Person,I agree,No,NA,19,Student,Male,"$25,000 or less",No,NA,Something else,College,NJ,Yes,3,No,NA,No,NA,No,NA,NA,"Morning (7am - 11am),Late night or early morning (7pm - 7am)",Fishing for fun or sport,NA,"Yes, with a friend",NA,Section B (markers 108-146),Once or twice a month,NA,NA,All of them,Four of them,Agree,Somewhat agree,Disagree,Somewhat agree,Not effective at all,Slightly effective,Very effective,Slightly effective,Extremely effective,No,NA,NA,NA,NA,NA,NA,NA,NA
