"DATE","SECT","total_pelicans","total_pelicans_injured","total_pelicans_dead"
2023-09-22,"A",3,0,0
2023-09-22,"B",2,0,0
2023-09-22,"C",2,0,0
2023-09-22,"D",1,0,0
2023-09-24,"A",0,0,0
2023-09-24,"B",0,0,0
2023-09-24,"C",0,0,0
2023-09-24,"D",4,1,0
2023-09-27,"A",2,0,0
2023-09-27,"B",9,0,0
2023-09-27,"C",0,0,0
2023-09-27,"D",1,0,0
2023-09-30,"A",22,0,0
2023-09-30,"B",1,0,0
2023-09-30,"C",0,0,0
2023-09-30,"D",1,0,0
2023-10-06,"A",3,0,0
2023-10-06,"B",0,0,0
2023-10-06,"C",0,0,0
2023-10-06,"D",4,0,0
2023-10-08,"A",0,0,0
2023-10-08,"B",0,0,0
2023-10-08,"C",0,0,0
2023-10-08,"D",0,0,0
2023-10-11,"A",0,0,0
2023-10-11,"B",0,0,0
2023-10-11,"C",0,0,0
2023-10-11,"D",3,0,0
2023-10-14,"A",0,0,0
2023-10-14,"B",1,0,0
2023-10-14,"C",0,0,0
2023-10-14,"D",7,0,0
2023-10-20,"A",2,0,0
2023-10-20,"B",6,0,0
2023-10-20,"C",2,0,0
2023-10-20,"D",1,0,0
2023-10-22,"A",2,0,0
2023-10-22,"B",0,1,0
2023-10-22,"C",0,0,0
2023-10-22,"D",2,0,0
2023-10-25,"A",7,0,0
2023-10-25,"B",2,0,0
2023-10-25,"C",0,0,0
2023-10-25,"D",0,0,0
2023-10-28,"A",0,0,0
2023-10-28,"B",0,0,0
2023-10-28,"C",0,0,0
2023-10-28,"D",0,0,0
2023-11-03,"A",0,0,0
2023-11-03,"B",0,0,0
2023-11-03,"C",0,0,0
2023-11-03,"D",8,1,0
2023-11-05,"A",0,0,0
2023-11-05,"B",0,0,0
2023-11-05,"C",2,0,0
2023-11-05,"D",1,0,0
2023-11-08,"A",0,0,0
2023-11-08,"B",1,0,0
2023-11-08,"C",0,0,0
2023-11-08,"D",7,0,0
2023-11-11,"A",0,0,0
2023-11-11,"B",0,0,0
2023-11-11,"C",2,0,0
2023-11-11,"D",6,0,0
2023-12-22,"A",25,1,0
2023-12-22,"B",31,1,0
2023-12-22,"C",8,0,1
2023-12-22,"D",9,0,0
2023-12-23,"A",38,2,0
2023-12-23,"B",7,0,0
2023-12-23,"C",5,1,0
2023-12-23,"D",2,0,0
2023-12-29,"A",12,1,0
2023-12-29,"B",33,4,0
2023-12-29,"C",13,2,0
2023-12-29,"D",5,1,0
2023-12-30,"A",16,0,0
2023-12-30,"B",19,2,0
2023-12-30,"C",15,4,0
2023-12-30,"D",13,0,0
2024-01-05,"A",21,4,0
2024-01-05,"B",27,0,0
2024-01-05,"C",13,3,0
2024-01-05,"D",19,2,0
2024-01-07,"A",14,2,0
2024-01-07,"B",35,7,0
2024-01-07,"C",11,1,0
2024-01-07,"D",6,0,0
2024-01-10,"A",20,0,0
2024-01-10,"B",37,4,0
2024-01-10,"C",40,3,0
2024-01-10,"D",18,1,0
2024-01-13,"A",5,0,0
2024-01-13,"B",7,0,0
2024-01-13,"C",7,1,0
2024-01-13,"D",8,1,0
2024-01-14,"A",3,0,0
2024-01-14,"B",1,0,0
2024-01-14,"C",0,0,0
2024-01-14,"D",0,0,0
2024-01-21,"A",35,1,0
2024-01-21,"B",11,0,0
2024-01-21,"C",14,0,0
2024-01-21,"D",2,0,0
2024-01-23,"A",18,1,0
2024-01-23,"B",12,2,0
2024-01-23,"C",2,0,0
2024-01-23,"D",4,0,0
2024-01-24,"A",10,0,0
2024-01-24,"B",6,2,0
2024-01-24,"C",5,0,0
2024-01-24,"D",5,0,0
2024-01-27,"A",17,0,0
2024-01-27,"B",4,0,0
2024-01-27,"C",7,1,0
2024-01-27,"D",18,1,0
2024-01-30,"A",8,2,0
2024-01-30,"B",7,1,0
2024-01-30,"C",8,2,0
2024-01-30,"D",4,2,0
2024-02-02,"A",35,2,0
2024-02-02,"B",4,0,0
2024-02-02,"C",8,0,0
2024-02-02,"D",12,1,0
2024-02-04,"A",30,1,0
2024-02-04,"B",6,1,0
2024-02-04,"C",21,1,0
2024-02-04,"D",10,2,0
2024-02-07,"A",2,0,0
2024-02-07,"B",5,0,0
2024-02-07,"C",2,0,0
2024-02-07,"D",0,0,0
2024-02-10,"A",0,0,0
2024-02-10,"B",0,0,0
2024-02-10,"C",0,0,0
2024-02-10,"D",6,0,0
2024-02-11,"A",8,0,0
2024-02-11,"B",4,2,0
2024-02-11,"C",11,0,0
2024-02-11,"D",14,1,0
2024-02-13,"A",9,0,0
2024-02-13,"B",4,1,0
2024-02-13,"C",3,0,0
2024-02-13,"D",9,0,0
2024-02-16,"A",24,2,0
2024-02-16,"B",3,1,0
